x , y , z , vx , vy , vz
    4.822526,   10.581266,    9.465100,    2.318024,   20.979442,   14.247035
    6.843143,   -3.971664,   -1.309667,   12.462357,  -48.370901,  -19.876724
    6.028884,   11.550388,    3.406628,    4.606781,    9.489080,  -21.648682
    3.473834,    0.456484,    1.612936,   -4.174112,   -5.133493,    2.813581
    8.358883,    8.182402,    5.832256,    0.869941,    1.455656,    5.888252
    9.588750,    8.136042,    8.888273,   11.901226,    7.308874,   -4.410063
    5.671792,    4.891263,    4.626296,   -2.288872,   -0.769141,    5.181346
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
