x , y , z , vx , vy , vz
    4.844453,   10.799591,    9.606531,    2.192784,   21.832476,   14.143102
    6.971605,   -4.466880,   -1.518628,   12.846215,  -49.521590,  -20.896093
    6.079412,   11.645943,    3.183723,    5.052726,    9.555415,  -22.290505
    3.430756,    0.403724,    1.642640,   -4.307741,   -5.275918,    2.970445
    8.368309,    8.197597,    5.893466,    0.942575,    1.519523,    6.120972
    9.711395,    8.211284,    8.842297,   12.264505,    7.524207,   -4.597546
    5.648006,    4.883270,    4.680141,   -2.378628,   -0.799302,    5.384528
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
