x , y , z , vx , vy , vz
    4.677035,    9.454029,    8.602185,    2.353972,   15.677648,   14.391548
    6.135104,   -1.259438,   -0.251108,   11.248831,  -40.419027,  -14.910151
    5.811625,   10.997025,    4.608602,    2.395495,    8.738660,  -17.770782
    3.704461,    0.742683,    1.465250,   -3.388007,   -4.256179,    2.013106
    8.315348,    8.103613,    5.512136,    0.558922,    1.130114,    4.596887
    8.928604,    7.729699,    9.126562,    9.758590,    6.025906,   -3.392227
    5.796386,    4.933131,    4.344252,   -1.793259,   -0.602598,    4.059421
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
