x , y , z , vx , vy , vz
    4.578483,   15.944221,   11.883385,   -6.648221,   33.166133,   11.385046
   10.428807,  -14.681294,   -7.500986,   26.727438,  -59.784231,  -45.849153
    7.984830,   13.249638,   -1.834170,   16.460427,    7.225857,  -32.228797
    2.434377,   -0.750526,    2.538324,   -6.535501,   -7.159972,    7.221000
    8.786031,    8.641083,    7.420489,    4.189917,    3.647285,   10.547176
   12.544402,    9.927159,    7.629446,   18.826325,   11.270994,   -8.955691
    5.038588,    4.678485,    6.059687,   -4.431952,   -1.489291,   10.032660
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
