x , y , z , vx , vy , vz
    4.003424,   17.987436,   12.555378,  -11.771572,   34.486273,   11.167634
   12.260302,  -18.213408,  -10.587103,   33.304871,  -57.793984,  -55.410234
    9.140455,   13.603196,   -3.844425,   21.302015,    4.824199,  -34.299034
    2.024316,   -1.185069,    3.042376,   -7.016106,   -7.247117,    9.287096
    9.100733,    8.900153,    8.095376,    6.027228,    4.823221,   11.710071
   13.748184,   10.643490,    7.027168,   20.937258,   12.405362,  -10.840847
    4.740539,    4.578330,    6.734385,   -5.375382,   -1.806317,   12.168314
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
