x , y , z , vx , vy , vz
    4.494303,    7.584818,    5.616813,   -0.116536,    0.517501,    1.869355
    3.156769,    4.410788,    2.412454,    2.133672,   -2.305080,   -1.627715
    5.702457,    9.334371,    7.585088,   -0.105500,    1.073873,   -1.693830
    4.267652,    1.465591,    1.177269,   -0.319464,   -0.417928,    0.138827
    8.237402,    7.919104,    4.780676,    0.038844,    0.104265,    0.395900
    7.276965,    6.703332,    9.656557,    0.958633,    0.599671,   -0.280694
    6.083442,    5.029592,    3.694440,   -0.156421,   -0.052563,    0.354092
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
