x , y , z , vx , vy , vz
    4.865843,   14.015472,   11.182403,   -2.397373,   30.465069,   12.184449
    8.976285,  -11.103996,   -4.986184,   20.863820,  -58.849877,  -36.509122
    7.110540,   12.772884,    0.032239,   12.025765,    8.792886,  -29.407600
    2.810609,   -0.330127,    2.150178,   -5.872701,   -6.736888,    5.481622
    8.574980,    8.447350,    6.821939,    2.653244,    2.691505,    9.136235
   11.468771,    9.280687,    8.124028,   16.659634,   10.067415,   -7.287927
    5.284120,    4.760992,    5.503875,   -3.641503,   -1.223673,    8.243312
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
