x , y , z , vx , vy , vz
    4.470270,    7.882746,    6.488548,    0.039061,    3.625356,    8.739887
    4.147110,    3.262901,    1.666090,    9.851151,  -12.453231,   -7.446416
    5.671593,    9.814482,    6.801166,   -0.131406,    4.688114,   -7.888906
    4.119821,    1.272954,    1.244011,   -1.487854,   -1.931055,    0.696408
    8.255716,    7.967269,    4.966181,    0.188235,    0.484346,    1.887315
    7.717497,    6.978420,    9.524260,    4.407787,    2.748123,   -1.353002
    6.010279,    5.005007,    3.860059,   -0.743201,   -0.249742,    1.682393
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
