x , y , z , vx , vy , vz
    3.876646,   18.333075,   12.667443,  -12.677855,   34.563947,   11.206446
   12.604680,  -18.785064,  -11.156888,   34.437769,  -57.165537,  -56.978438
    9.361784,   13.646626,   -4.190019,   22.132947,    4.342999,  -34.559404
    1.953597,   -1.257282,    3.138984,   -7.071822,   -7.221363,    9.660812
    9.164231,    8.950518,    8.214139,    6.349771,    5.036466,   11.876380
   13.961007,   10.769358,    6.915411,   21.282274,   12.586834,  -11.175733
    4.685016,    4.559672,    6.860072,   -5.552268,   -1.865757,   12.568734
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
