x , y , z , vx , vy , vz
    1.876565,   22.070459,   13.999941,  -22.681645,   32.768207,   13.378770
   17.135412,  -24.416576,  -18.392111,   46.645629,  -44.708409,  -72.501520
   12.346852,   13.743383,   -8.085584,   31.249856,   -2.395385,  -35.604557
    1.166368,   -1.993945,    4.466979,   -7.020831,   -5.969617,   14.172872
   10.079633,    9.656225,    9.608041,    9.965680,    7.626257,   13.196997
   16.523074,   12.266824,    5.448840,   24.919079,   14.422591,  -15.230809
    3.929494,    4.305790,    8.570357,   -8.248053,   -2.771635,   18.671212
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
