x , y , z , vx , vy , vz
    4.484722,    7.635067,    5.791646,   -0.185873,    1.108511,    3.750771
    3.356233,    4.193105,    2.261062,    4.277555,   -4.705082,   -3.235921
    5.693287,    9.433656,    7.427256,   -0.185502,    2.113458,   -3.378225
    4.237886,    1.426678,    1.190299,   -0.637069,   -0.832394,    0.280419
    8.241032,    7.928814,    4.817667,    0.077870,    0.207741,    0.793250
    7.366144,    6.759096,    9.630299,    1.906561,    1.191861,   -0.563602
    6.068833,    5.024683,    3.727511,   -0.313204,   -0.105248,    0.709004
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
