x , y , z , vx , vy , vz
    4.570610,    8.758766,    7.893404,    1.708226,   11.295225,   13.678653
    5.568181,    0.604549,    0.437489,   11.728470,  -32.232534,  -12.335457
    5.718938,   10.579017,    5.433369,    1.143780,    7.736459,  -14.607397
    3.861308,    0.940795,    1.375283,   -2.768447,   -3.524699,    1.504023
    8.290783,    8.051671,    5.301526,    0.402701,    0.908678,    3.659986
    8.475235,    7.449331,    9.281350,    8.047608,    4.987648,   -2.673099
    5.878654,    4.960776,    4.158020,   -1.432669,   -0.481427,    3.243149
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
