x , y , z , vx , vy , vz
    4.496501,    7.575187,    5.581926,   -0.090190,    0.379822,    1.387378
    3.116948,    4.453776,    2.442847,    1.583709,   -1.705981,   -1.210502
    5.704437,    9.314309,    7.616710,   -0.079929,    0.800355,   -1.258988
    4.273616,    1.473394,    1.174678,   -0.237457,   -0.310708,    0.102957
    8.236677,    7.917158,    4.773287,    0.028850,    0.077516,    0.293988
    7.259066,    6.692134,    9.661796,    0.712938,    0.446036,   -0.208357
    6.086362,    5.030573,    3.687830,   -0.116171,   -0.039038,    0.262978
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
