x , y , z , vx , vy , vz
    4.473470,    7.967835,    6.678620,    0.204969,    4.478422,    9.757015
    4.359974,    2.980664,    1.503604,   10.899362,  -14.698642,   -8.352368
    5.670222,    9.916074,    6.628391,   -0.044579,    5.210627,   -8.893073
    4.087230,    1.230723,    1.259476,   -1.677656,   -2.172711,    0.799764
    8.259879,    7.977879,    5.007682,    0.214988,    0.546159,    2.139023
    7.813857,    7.038464,    9.494453,    4.956967,    3.088220,   -1.537230
    5.993946,    4.999518,    3.897033,   -0.841693,   -0.282838,    1.905350
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
