x , y , z , vx , vy , vz
    4.653495,    9.297253,    8.458269,    2.260858,   14.785167,   14.317051
    6.022616,   -0.855247,   -0.102007,   11.238557,  -38.911501,  -14.283861
    5.787670,   10.909638,    4.786310,    2.103595,    8.561569,  -17.128882
    3.738342,    0.785245,    1.445119,   -3.260950,   -4.108758,    1.900910
    8.309758,    8.092312,    5.466167,    0.522225,    1.083009,    4.399518
    8.831018,    7.669440,    9.160484,    9.409838,    5.815182,   -3.239486
    5.814318,    4.939157,    4.303658,   -1.717469,   -0.577130,    3.887854
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
