x , y , z , vx , vy , vz
    4.512434,    8.356043,    7.362674,    1.027637,    8.115529,   12.465042
    5.086133,    1.779813,    0.909408,   12.474245,  -24.480671,  -10.926068
    5.683907,   10.283682,    5.981110,    0.487379,    6.772958,  -12.199066
    3.965003,    1.073229,    1.320196,   -2.305646,   -2.959724,    1.179387
    8.276082,    8.017717,    5.165300,    0.313856,    0.752516,    2.997392
    8.173025,    7.261862,    9.380580,    6.749658,    4.193284,   -2.173464
    5.932027,    4.978711,    4.037200,   -1.176122,   -0.395218,    2.662402
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
