x , y , z , vx , vy , vz
    3.104616,   20.058559,   13.242307,  -17.291068,   34.337627,   11.778091
   14.497162,  -21.519191,  -14.234440,   40.118351,  -52.744042,  -64.520707
   10.593980,   13.783691,   -5.947768,   26.320404,    1.599395,  -35.461018
    1.594722,   -1.609788,    3.680619,   -7.216056,   -6.888540,   11.636026
    9.530859,    9.235758,    8.830138,    7.992200,    6.163022,   12.589669
   15.076092,   11.425103,    6.304380,   22.973499,   13.458928,  -12.936125
    4.378159,    4.456557,    7.554709,   -6.557423,   -2.203524,   14.844114
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
