x , y , z , vx , vy , vz
    3.595576,   19.025038,   12.893708,  -14.514132,   34.595862,   11.357226
   13.327570,  -19.906100,  -12.342844,   36.714052,  -55.652044,  -60.064620
    9.829511,   13.718140,   -4.887974,   23.805051,    3.312397,  -35.001711
    1.810825,   -1.400416,    3.343714,   -7.157958,   -7.130637,   10.430806
    9.301006,    9.057814,    8.456338,    7.002491,    5.475598,   12.185176
   14.396916,   11.026447,    6.681618,   21.965757,   12.942850,  -11.862850
    4.568379,    4.520478,    7.124104,   -5.927581,   -1.991875,   13.418333
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
