x , y , z , vx , vy , vz
    4.500157,    7.560295,    5.527179,   -0.025894,    0.100539,    0.372885
    3.054450,    4.520986,    2.490678,    0.425706,   -0.456748,   -0.326431
    5.707627,    9.282638,    7.666442,   -0.022053,    0.216616,   -0.339269
    4.282996,    1.485669,    1.170617,   -0.063992,   -0.083754,    0.027658
    8.235538,    7.914095,    4.761681,    0.007767,    0.020897,    0.079104
    7.230893,    6.674507,    9.670019,    0.192294,    0.120329,   -0.056031
    6.090948,    5.032115,    3.677448,   -0.031265,   -0.010506,    0.070776
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
