x , y , z , vx , vy , vz
    4.920258,   13.118982,   10.811773,   -0.720314,   28.656922,   12.703383
    8.376378,   -9.351830,   -3.935362,   18.330887,  -57.376216,  -32.119158
    6.770173,   12.503883,    0.898414,   10.020206,    9.269931,  -27.773900
    2.983099,   -0.130959,    1.993358,   -5.499049,   -6.431411,    4.736986
    8.501668,    8.370558,    6.555436,    2.052135,    2.310927,    8.373312
   10.979938,    8.984867,    8.335027,   15.562705,    9.444496,   -6.536064
    5.389795,    4.796503,    5.264656,   -3.290406,   -1.105692,    7.448531
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
