x , y , z , vx , vy , vz
    4.476963,    7.694023,    5.981113,   -0.191845,    1.722098,    5.362879
    3.572111,    3.951866,    2.098426,    6.106483,   -6.894156,   -4.590946
    5.684932,    9.539198,    7.257056,   -0.218831,    2.968021,   -4.811539
    4.205791,    1.384785,    1.204563,   -0.907292,   -1.183572,    0.405612
    8.244973,    7.939275,    4.857756,    0.111722,    0.295639,    1.135450
    7.462022,    6.819006,    9.601772,    2.707554,    1.691373,   -0.808675
    6.053011,    5.019366,    3.763326,   -0.447995,   -0.150542,    1.014131
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
