x , y , z , vx , vy , vz
    4.500416,    7.559290,    5.523450,   -0.018580,    0.071741,    0.266310
    3.050193,    4.525553,    2.493943,    0.304037,   -0.326129,   -0.233188
    5.707847,    9.280472,    7.669835,   -0.015771,    0.154783,   -0.242350
    4.283636,    1.486506,    1.170340,   -0.045711,   -0.059829,    0.019753
    8.235460,    7.913886,    4.760890,    0.005548,    0.014928,    0.056500
    7.228970,    6.673304,    9.670579,    0.137370,    0.085962,   -0.040019
    6.091261,    5.032220,    3.676740,   -0.022332,   -0.007504,    0.050553
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
