x , y , z , vx , vy , vz
    4.883011,   11.261243,    9.885615,    1.826489,   23.493933,   13.886327
    7.241974,   -5.489768,   -1.969142,   13.758329,  -51.667804,  -23.085233
    6.194720,   11.838300,    2.718824,    6.010249,    9.632356,  -23.561534
    3.340582,    0.294012,    1.707050,   -4.575723,   -5.554776,    3.306374
    8.389664,    8.230054,    6.023050,    1.112439,    1.658640,    6.600062
    9.967628,    8.368227,    8.744507,   12.994354,    7.954700,   -4.988683
    5.597654,    4.866350,    4.794124,   -2.564664,   -0.861817,    5.805659
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
