x , y , z , vx , vy , vz
    0.619566,   23.644138,   14.730306,  -26.699743,   30.506311,   15.526057
   19.615634,  -26.395922,  -22.182555,   51.480697,  -35.940019,  -77.827220
   14.025745,   13.509901,   -9.847901,   35.084006,   -6.243347,  -34.908163
    0.830465,   -2.256064,    5.240143,   -6.461722,   -4.689337,   16.318845
   10.626048,   10.076134,   10.278058,   11.561522,    8.921014,   13.514496
   17.815574,   13.010082,    4.626103,   26.460138,   15.150694,  -17.287995
    3.415715,    4.133142,    9.733405,  -13.279006,   -4.462212,   30.059839
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
