x , y , z , vx , vy , vz
    4.553528,    8.645813,    7.756617,    1.541468,   10.460792,   13.429288
    5.450897,    0.926874,    0.560844,   11.948067,  -30.376285,  -11.963433
    5.707500,   10.501652,    5.579443,    0.953027,    7.505966,  -13.992785
    3.888993,    0.976042,    1.360243,   -2.649747,   -3.381176,    1.416632
    8.286756,    8.042584,    5.264926,    0.378160,    0.868102,    3.487287
    8.394759,    7.399455,    9.308081,    7.716479,    4.785502,   -2.542162
    5.892981,    4.965591,    4.125588,   -1.365937,   -0.459003,    3.092086
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
