x , y , z , vx , vy , vz
    1.146021,   23.028877,   14.424677,  -25.164794,   31.504151,   14.577372
   18.595089,  -25.658213,  -20.635517,   49.634525,  -39.655571,  -75.866160
   13.331444,   13.626733,   -9.147750,   33.592292,   -4.652685,  -35.276150
    0.961153,   -2.159299,    4.918019,   -6.734790,   -5.263169,   15.465177
   10.397955,    9.900351,   10.008276,   10.930974,    8.395764,   13.406672
   17.289389,   12.708467,    4.967645,   25.853164,   14.868057,  -16.449554
    3.654738,    4.213462,    9.192325,   -9.716106,   -3.264952,   21.994460
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
