x , y , z , vx , vy , vz
    4.498179,    7.568190,    5.556317,   -0.065522,    0.265606,    0.977542
    3.087715,    4.485250,    2.465199,    1.115948,   -1.199748,   -0.854225
    5.705917,    9.299524,    7.639955,   -0.057079,    0.565729,   -0.888123
    4.278000,    1.479131,    1.172778,   -0.167511,   -0.219215,    0.072517
    8.236144,    7.915726,    4.767860,    0.020341,    0.054691,    0.207243
    7.245901,    6.683898,    9.665642,    0.503137,    0.314808,   -0.146838
    6.088506,    5.031294,    3.682975,   -0.081902,   -0.027522,    0.185402
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
