x , y , z , vx , vy , vz
    4.911855,   11.755067,   10.158786,    1.300614,   25.083763,   13.579127
    7.533360,   -6.552343,   -2.466280,   14.854511,  -53.597149,  -25.462495
    6.330472,   12.031037,    2.228844,    7.053747,    9.631765,  -24.809163
    3.245052,    0.178872,    1.778643,   -4.843360,   -5.823421,    3.673365
    8.414987,    8.265559,    6.162459,    1.320853,    1.815817,    7.095128
   10.238505,    8.533762,    8.638562,   13.727220,    8.383955,   -5.401971
    5.543446,    4.848135,    4.916835,   -2.759749,   -0.927372,    6.247275
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
