x , y , z , vx , vy , vz
    4.798648,   14.640592,   11.421358,   -3.691707,   31.508334,   11.871837
    9.421139,  -12.290674,   -5.761997,   22.712169,  -59.470352,  -39.558101
    7.372286,   12.942399,   -0.571185,   13.446417,    8.362430,  -30.420221
    2.689603,   -0.467478,    2.267902,   -6.108501,   -6.908782,    6.024160
    8.634988,    8.505503,    7.012070,    3.120296,    2.982138,    9.628472
   11.812875,    9.488163,    7.970327,   17.386698,   10.475418,   -7.819490
    5.207564,    4.735267,    5.677174,   -3.890942,   -1.307493,    8.807969
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
