x , y , z , vx , vy , vz
    4.500801,    7.557808,    5.517947,   -0.003742,    0.014328,    0.053251
    3.043910,    4.532292,    2.498762,    0.060795,   -0.065191,   -0.046644
    5.708174,    9.277272,    7.674844,   -0.003159,    0.030974,   -0.048475
    4.284581,    1.487743,    1.169932,   -0.009143,   -0.011967,    0.003950
    8.235345,    7.913578,    4.759722,    0.001110,    0.002986,    0.011299
    7.226131,    6.671527,    9.671406,    0.027479,    0.017196,   -0.008003
    6.091722,    5.032375,    3.675695,   -0.004466,   -0.001501,    0.010110
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
