x , y , z , vx , vy , vz
   -0.517736,   24.807763,   15.406210,  -29.406355,   28.193179,   17.778699
   21.758260,  -27.632122,  -25.377937,   54.738104,  -27.768636,  -80.985548
   15.499286,   13.176804,  -11.218489,   37.851898,   -9.605935,  -33.820791
    0.590413,   -2.409123,    5.934450,   -5.685587,   -3.262877,   17.965942
   11.119207,   10.459775,   10.822588,   12.782594,    9.997349,   13.661081
   18.903461,   13.629466,    3.891323,   27.632508,   15.678844,  -19.028363
    2.962958,    3.981000,   10.758316,   -9.834898,   -3.304871,   22.263373
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
