x , y , z , vx , vy , vz
    4.750694,    9.977946,    9.035363,    2.477849,   18.354733,   14.434548
    6.478782,   -2.557058,   -0.741834,   11.614738,  -44.620025,  -17.139219
    5.903175,   11.268414,    4.036728,    3.401696,    9.185377,  -19.709724
    3.595069,    0.606156,    1.532953,   -3.776781,   -4.697985,    2.384623
    8.334687,    8.140521,    5.662395,    0.691694,    1.282312,    5.219644
    9.242554,    7.923228,    9.015160,   10.820593,    6.664444,   -3.878806
    5.737850,    4.913461,    4.476761,   -2.032102,   -0.682858,    4.600094
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
