x , y , z , vx , vy , vz
    4.907835,   13.411886,   10.937034,   -1.242374,   29.290414,   12.526066
    8.567788,   -9.931205,   -4.270906,   19.141013,  -57.937434,  -33.554457
    6.876884,   12.595214,    0.615089,   10.671081,    9.133120,  -28.332506
    2.926841,   -0.196349,    2.043119,   -5.625827,   -6.539005,    4.976077
    8.524055,    8.394862,    6.641734,    2.238749,    2.430410,    8.629735
   11.139228,    9.081402,    8.267220,   15.929014,    9.653468,   -6.780651
    5.355750,    4.785062,    5.341725,   -3.404522,   -1.144039,    7.706856
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
