x , y , z , vx , vy , vz
    4.538113,    8.541205,    7.622324,    1.370152,    9.649747,   13.143413
    5.331416,    1.230637,    0.680478,   12.169740,  -28.448169,  -11.616310
    5.697970,   10.426593,    5.719370,    0.780587,    7.267854,  -13.386053
    3.915490,    1.009854,    1.346077,   -2.532995,   -3.239051,    1.333534
    8.282974,    8.033903,    5.230053,    0.355289,    0.828582,    3.319332
    8.317594,    7.351600,    9.333503,    7.389615,    4.585609,   -2.415302
    5.906640,    4.970181,    4.094667,   -1.300948,   -0.437164,    2.944970
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
