x , y , z , vx , vy , vz
    4.500726,    7.558095,    5.519012,   -0.007474,    0.028663,    0.106506
    3.045126,    4.530988,    2.497829,    0.121595,   -0.130395,   -0.093286
    5.708110,    9.277892,    7.673874,   -0.006316,    0.061941,   -0.096948
    4.284398,    1.487504,    1.170011,   -0.018286,   -0.023934,    0.007900
    8.235368,    7.913638,    4.759948,    0.002219,    0.005972,    0.022599
    7.226681,    6.671871,    9.671246,    0.054956,    0.034390,   -0.016006
    6.091633,    5.032345,    3.675897,   -0.008932,   -0.003002,    0.020220
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
