x , y , z , vx , vy , vz
    4.229904,   17.298898,   12.332182,   -9.994705,   34.207755,   11.158579
   11.605467,  -17.052099,   -9.494706,   31.061384,  -58.794726,  -52.239506
    8.722674,   13.502130,   -3.161301,   19.656279,    5.717591,  -33.702939
    2.164003,   -1.039993,    2.860291,   -6.881883,   -7.262036,    8.563866
    8.983380,    8.805776,    7.862917,    5.393059,    4.410488,   11.353584
   13.332910,   10.397220,    7.240695,   20.241060,   12.035715,  -10.188652
    4.846341,    4.613883,    6.494879,   -5.040153,   -1.693668,   11.409452
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
