x , y , z , vx , vy , vz
    4.500602,    7.558573,    5.520787,   -0.012428,    0.047794,    0.177522
    3.047153,    4.528814,    2.496274,    0.202672,   -0.217363,   -0.155470
    5.708005,    9.278924,    7.672259,   -0.010522,    0.103216,   -0.161575
    4.284093,    1.487105,    1.170143,   -0.030476,   -0.039888,    0.013168
    8.235405,    7.913737,    4.760325,    0.003699,    0.009953,    0.037666
    7.227597,    6.672444,    9.670980,    0.091588,    0.057314,   -0.026678
    6.091484,    5.032295,    3.676234,   -0.014888,   -0.005003,    0.033701
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
