x , y , z , vx , vy , vz
    4.470863,    7.784576,    6.241585,   -0.114638,    2.636198,    7.228934
    3.868063,    3.607757,    1.876344,    8.200949,   -9.722814,   -6.153393
    5.676381,    9.681548,    7.023509,   -0.202093,    3.924006,   -6.484260
    4.161753,    1.327424,    1.224534,   -1.222727,   -1.591095,    0.559323
    8.250437,    7.953618,    4.913109,    0.152474,    0.398151,    1.540827
    7.593131,    6.900857,    9.562267,    3.635051,    2.268508,   -1.101081
    6.031185,    5.012032,    3.812734,   -0.607336,   -0.204086,    1.374833
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
