x , y , z , vx , vy , vz
    4.486460,    8.133610,    7.000703,    0.561215,    6.095848,   11.210382
    4.712910,    2.456889,    1.225643,   12.129300,  -18.977297,   -9.716280
    5.672814,   10.088170,    6.329819,    0.163331,    5.999202,  -10.494266
    4.030881,    1.157936,    1.286923,   -1.981058,   -2.555549,    0.975371
    8.267221,    7.996231,    5.079956,    0.260409,    0.645371,    2.548481
    7.979861,    7.141797,    9.442367,    5.827735,    3.626028,   -1.839174
    5.965531,    4.989970,    3.961356,   -1.001510,   -0.336543,    2.267130
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
