x , y , z , vx , vy , vz
    4.478882,    7.676802,    5.927484,   -0.195945,    1.546086,    4.934090
    3.511046,    4.020808,    2.144336,    5.621176,   -6.294973,   -4.232010
    5.687120,    9.509518,    7.305172,   -0.213790,    2.743776,   -4.430397
    4.214864,    1.396621,    1.200507,   -0.835435,   -1.090350,    0.371805
    8.243855,    7.936318,    4.846402,    0.102643,    0.272276,    1.044032
    7.434947,    6.802092,    9.609859,    2.495105,    1.558977,   -0.743056
    6.057491,    5.020872,    3.753185,   -0.412009,   -0.138450,    0.932670
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
