x , y , z , vx , vy , vz
    4.421139,   16.616747,   12.108733,   -8.280962,   33.766596,   11.234088
   10.995299,  -15.872475,   -8.465878,   28.862976,  -59.456421,  -49.044128
    8.337673,   13.383658,   -2.490586,   18.039559,    6.518278,  -33.010898
    2.300865,   -0.894850,    2.692504,   -6.720464,   -7.231627,    7.874640
    8.878620,    8.719557,    7.637746,    4.778415,    4.017777,   10.965600
   12.931599,   10.158386,    7.441296,   19.537185,   11.657453,   -9.560172
    4.945551,    4.647221,    6.270295,   -4.726621,   -1.588310,   10.699706
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
