x , y , z , vx , vy , vz
    4.589279,    8.880253,    8.032319,    1.866941,   12.148773,   13.891496
    5.683538,    0.264442,    0.310030,   11.535642,  -34.010702,  -12.745949
    5.732474,   10.658600,    5.281077,    1.353584,    7.958289,  -15.229129
    3.832418,    0.904101,    1.391243,   -2.889010,   -3.669426,    1.595922
    8.295074,    8.061175,    5.339901,    0.429121,    0.950371,    3.837495
    8.559062,    7.501250,    9.253268,    8.382755,    5.191867,   -2.808205
    5.863643,    4.955732,    4.192002,   -1.501165,   -0.504444,    3.398205
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
