x , y , z , vx , vy , vz
    4.898848,   11.504229,   10.022994,    1.583755,   24.298682,   13.737929
    7.384815,   -6.016372,   -2.211655,   14.284051,  -52.660424,  -24.251327
    6.259934,   11.934719,    2.476936,    6.521390,    9.641976,  -24.188768
    3.293485,    0.237107,    1.741909,   -4.709689,   -5.690548,    3.485881
    8.401778,    8.247401,    6.091508,    1.211392,    1.734746,    6.845808
   10.101233,    8.449922,    8.692582,   13.360509,    8.169555,   -5.192516
    5.571043,    4.857408,    4.854362,   -2.661047,   -0.894205,    6.023842
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
