x , y , z , vx , vy , vz
    4.503949,   16.279081,   11.996392,   -7.453387,   33.486007,   11.300745
   10.706669,  -15.277911,   -7.975436,   27.786265,  -59.661645,  -47.445040
    8.157278,   13.318475,   -2.160477,   17.244779,    6.883712,  -32.630719
    2.368070,   -0.822534,    2.613757,   -6.630705,   -7.200703,    7.543294
    8.830836,    8.679379,    7.528090,    4.480458,    3.829609,   10.760092
   12.736227,   10.041812,    7.536897,   19.182583,   11.465220,   -9.254917
    4.992818,    4.663104,    6.163298,   -4.577077,   -1.538059,   10.361182
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
