x , y , z , vx , vy , vz
    4.703640,   15.284484,   11.654677,   -5.113301,   32.411259,   11.601333
    9.904646,  -13.485200,   -6.599899,   24.671785,  -59.785658,  -42.679162
    7.663351,   13.101932,   -1.193823,   14.926904,    7.840401,  -31.362986
    2.564085,   -0.607827,    2.397036,   -6.330437,   -7.051063,    6.603989
    8.705055,    8.569899,    7.211746,    3.634765,    3.301332,   10.100363
   12.171453,    9.703701,    7.805629,   18.109225,   10.876808,   -8.375421
    5.125818,    4.707797,    5.862224,   -4.153965,   -1.395878,    9.403378
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
