x , y , z , vx , vy , vz
    4.472010,    7.758214,    6.169296,   -0.145189,    2.370712,    6.742311
    3.786054,    3.704985,    1.937878,    7.658491,   -8.941970,   -5.744453
    5.678402,    9.642308,    7.088351,   -0.213105,    3.677148,   -6.044207
    4.173980,    1.343335,    1.218941,   -1.139724,   -1.484154,    0.517968
    8.248913,    7.949637,    4.897701,    0.141589,    0.371179,    1.433477
    7.556780,    6.878172,    9.573278,    3.391824,    2.117306,   -1.023411
    6.037258,    5.014073,    3.798986,   -0.565178,   -0.189920,    1.279400
    3.472061,    4.152077,    9.605852,    0.000000,    0.000000,   -0.000000
